product_id,product_name,product_price,reviews,created_by,category
BE100000,Beauty Miss 0,920.53,Not worth the price.,Martinez-May,Beauty
BE100001,Beauty Once 1,328.39,"Excellent product, highly recommend.","Allen, Crane and Moore",Beauty
BE100002,Beauty National 2,38.52,Not worth the price.,Blanchard and Sons,Beauty
BE100003,Beauty Your 3,732.08,"Excellent product, highly recommend.","Griffin, Ayers and Webb",Beauty
BE100004,Beauty Data 4,15.16,Not worth the price.,Cox-Brady,Beauty
BE100005,Beauty Discussion 5,87.68,Good but overpriced.,Wilson LLC,Beauty
BE100006,Beauty Career 6,331.57,Fantastic product with ethical sourcing.,Medina-Clark,Beauty
BE100007,Beauty Near 7,248.11,Not worth the price.,Glover-Rodriguez,Beauty
BE100008,Beauty Decade 8,113.81,"Excellent product, highly recommend.",Huerta LLC,Beauty
BE100009,Beauty Service 9,558.69,Very durable and eco-friendly packaging.,Gordon Ltd,Beauty
BE100010,Beauty Establish 10,397.68,Great quality and fast delivery!,"Anderson, Lee and Yang",Beauty
BE100011,Beauty These 11,570.47,Very durable and eco-friendly packaging.,Davis-Booth,Beauty
BE100012,Beauty Party 12,523.42,Great quality and fast delivery!,King PLC,Beauty
BE100013,Beauty Actually 13,199.85,Great quality and fast delivery!,Weaver PLC,Beauty
BE100014,Beauty Hospital 14,378.99,Wouldn’t buy again.,Newman-Green,Beauty
BE100015,Beauty Several 15,43.74,Satisfied with the purchase.,"Hunter, Gilbert and Ramos",Beauty
BE100016,Beauty Return 16,551.54,Very durable and eco-friendly packaging.,Moore Inc,Beauty
BE100017,Beauty Throw 17,395.58,Perfect gift option!,Green-Thomas,Beauty
BE100018,Beauty Yes 18,472.23,Wouldn’t buy again.,Callahan-Jones,Beauty
BE100019,Beauty Win 19,953.57,Perfect gift option!,Brown Inc,Beauty
BE100020,Beauty Claim 20,219.43,"Excellent product, highly recommend.",Everett and Sons,Beauty
BE100021,Beauty Meeting 21,254.54,Not worth the price.,Barnett-Collins,Beauty
BE100022,Beauty Set 22,888.26,Satisfied with the purchase.,Marshall-Anderson,Beauty
BE100023,Beauty Behavior 23,786.68,Satisfied with the purchase.,Greene-Anderson,Beauty
BE100024,Beauty Site 24,685.58,"Average experience, could be better.",Sutton Ltd,Beauty
BE100025,Beauty My 25,602.61,Fantastic product with ethical sourcing.,Carr-Morales,Beauty
BE100026,Beauty From 26,235.1,Wouldn’t buy again.,Taylor Ltd,Beauty
BE100027,Beauty White 27,662.97,Not worth the price.,Fields LLC,Beauty
BE100028,Beauty Avoid 28,337.04,"Average experience, could be better.",Daniels PLC,Beauty
BE100029,Beauty Bank 29,76.95,Wouldn’t buy again.,Perry-Anderson,Beauty
BE100030,Beauty Risk 30,751.28,Wouldn’t buy again.,"Evans, Garcia and Day",Beauty
BE100031,Beauty However 31,401.55,Great quality and fast delivery!,Simmons and Sons,Beauty
BE100032,Beauty Yourself 32,251.08,"Excellent product, highly recommend.",Duncan LLC,Beauty
BE100033,Beauty Doctor 33,113.63,Great quality and fast delivery!,"Heath, Mcdonald and Anderson",Beauty
BE100034,Beauty Lose 34,537.4,Very durable and eco-friendly packaging.,Copeland-Sullivan,Beauty
BE100035,Beauty Condition 35,696.19,Great quality and fast delivery!,Beck-Waller,Beauty
BE100036,Beauty None 36,183.1,Good but overpriced.,"Mcdowell, Bailey and Salinas",Beauty
BE100037,Beauty Congress 37,458.07,"Excellent product, highly recommend.",Bird-Farmer,Beauty
BE100038,Beauty World 38,30.3,Great quality and fast delivery!,Hawkins-Bender,Beauty
BE100039,Beauty Movie 39,481.69,"Excellent product, highly recommend.","Macdonald, Jefferson and Gilmore",Beauty
BE100040,Beauty Sport 40,879.93,Wouldn’t buy again.,Cooper PLC,Beauty
BE100041,Beauty Race 41,428.45,Good but overpriced.,Green and Sons,Beauty
BE100042,Beauty Compare 42,870.23,Wouldn’t buy again.,Moore-Turner,Beauty
BE100043,Beauty At 43,168.27,"Excellent product, highly recommend.",Allen-Farrell,Beauty
BE100044,Beauty According 44,602.54,"Excellent product, highly recommend.","Joseph, Kelly and Harper",Beauty
BE100045,Beauty When 45,397.5,Satisfied with the purchase.,Steele PLC,Beauty
BE100046,Beauty Policy 46,988.32,Good but overpriced.,Archer-Ortiz,Beauty
BE100047,Beauty Week 47,124.8,Satisfied with the purchase.,Lambert Ltd,Beauty
BE100048,Beauty Society 48,436.46,Perfect gift option!,"Clark, Wilkerson and Smith",Beauty
BE100049,Beauty Run 49,989.48,"Average experience, could be better.","Baker, Roberson and Salazar",Beauty
BE100050,Beauty Culture 50,141.1,Great quality and fast delivery!,Hudson-Evans,Beauty
BE100051,Beauty Vote 51,555.1,Not worth the price.,Garcia-Suarez,Beauty
BE100052,Beauty Seven 52,822.28,Great quality and fast delivery!,Brennan Inc,Beauty
BE100053,Beauty Eat 53,663.28,"Average experience, could be better.",Tapia-Thomas,Beauty
BE100054,Beauty Value 54,296.98,Great quality and fast delivery!,"Ramirez, Stanley and Moore",Beauty
BE100055,Beauty Middle 55,490.06,Fantastic product with ethical sourcing.,Henry and Sons,Beauty
BE100056,Beauty Product 56,171.57,"Average experience, could be better.","Smith, Daniels and Jones",Beauty
BE100057,Beauty Still 57,675.79,Good but overpriced.,Landry Ltd,Beauty
BE100058,Beauty She 58,20.92,Satisfied with the purchase.,"Gonzales, Schmidt and Ali",Beauty
BE100059,Beauty Reflect 59,84.89,Wouldn’t buy again.,"Ho, Gates and Nguyen",Beauty
BE100060,Beauty College 60,769.49,Wouldn’t buy again.,Lang PLC,Beauty
BE100061,Beauty Sense 61,69.62,Satisfied with the purchase.,Scott LLC,Beauty
BE100062,Beauty But 62,302.96,Satisfied with the purchase.,Moss-Parker,Beauty
BE100063,Beauty Mouth 63,846.94,Not worth the price.,Ward PLC,Beauty
BE100064,Beauty Number 64,54.64,Satisfied with the purchase.,"Dean, Stewart and Smith",Beauty
BE100065,Beauty Unit 65,33.16,Satisfied with the purchase.,"Novak, Evans and Burton",Beauty
BE100066,Beauty Attack 66,946.65,Fantastic product with ethical sourcing.,Garcia-Graham,Beauty
BE100067,Beauty Evening 67,925.64,Perfect gift option!,"Contreras, Jones and Berg",Beauty
BE100068,Beauty Magazine 68,669.27,Great quality and fast delivery!,Harris-Hunter,Beauty
BE100069,Beauty Yet 69,314.64,Very durable and eco-friendly packaging.,Green Group,Beauty
