product_id,product_name,product_price,reviews,created_by
GR100000,Groceries Draw 0,551.45,"Average experience, could be better.",West and Sons
GR100001,Groceries Get 1,878.68,Good but overpriced.,"Franklin, Fisher and Harrison"
GR100002,Groceries Special 2,868.37,Very durable and eco-friendly packaging.,"Morris, Wheeler and Lewis"
GR100003,Groceries Today 3,149.91,"Excellent product, highly recommend.",Lee-Rich
GR100004,Groceries Goal 4,538.13,Wouldn’t buy again.,Perez-Harrell
GR100005,Groceries Try 5,797.85,Not worth the price.,Griffin-Olsen
GR100006,Groceries Scene 6,135.47,Satisfied with the purchase.,Sanchez Ltd
GR100007,Groceries Approach 7,720.03,"Excellent product, highly recommend.",Young and Sons
GR100008,Groceries Nice 8,32.8,Good but overpriced.,"Smith, Scott and Meyer"
GR100009,Groceries Growth 9,734.46,Wouldn’t buy again.,"Saunders, Hernandez and Frye"
GR100010,Groceries Accept 10,448.21,Very durable and eco-friendly packaging.,Briggs Inc
GR100011,Groceries Ask 11,206.17,Good but overpriced.,Campbell Group
GR100012,Groceries Impact 12,751.2,Satisfied with the purchase.,"Anderson, Moreno and Smith"
GR100013,Groceries Part 13,368.6,Satisfied with the purchase.,Smith LLC
GR100014,Groceries Man 14,500.7,Not worth the price.,Conway and Sons
GR100015,Groceries Rule 15,616.93,Good but overpriced.,Meyers Ltd
GR100016,Groceries Lead 16,509.26,Good but overpriced.,Lynn-Brown
GR100017,Groceries Join 17,926.09,Satisfied with the purchase.,"Scott, Leonard and Martinez"
GR100018,Groceries Animal 18,9.19,"Excellent product, highly recommend.","Jones, Chambers and Lee"
GR100019,Groceries Yeah 19,179.83,Fantastic product with ethical sourcing.,Campbell Ltd
GR100020,Groceries Report 20,710.71,"Excellent product, highly recommend.",Donaldson Inc
GR100021,Groceries Enjoy 21,799.35,Wouldn’t buy again.,Ramirez-Singh
GR100022,Groceries Official 22,462.35,"Excellent product, highly recommend.",Martin-Nguyen
GR100023,Groceries Still 23,544.17,"Excellent product, highly recommend.","Riley, Novak and Shelton"
GR100024,Groceries Hit 24,470.03,Perfect gift option!,Cardenas-Mason
GR100025,Groceries Answer 25,10.61,"Excellent product, highly recommend.",Joseph-Robinson
GR100026,Groceries Watch 26,581.87,Wouldn’t buy again.,Watkins-Jordan
GR100027,Groceries Head 27,975.18,Satisfied with the purchase.,"Rice, Rose and Cowan"
GR100028,Groceries College 28,931.46,Wouldn’t buy again.,Barton and Sons
GR100029,Groceries Forward 29,462.5,"Average experience, could be better.","Nichols, Hayes and Burton"
GR100030,Groceries Explain 30,257.39,Good but overpriced.,Robinson Ltd
GR100031,Groceries Hand 31,289.14,Perfect gift option!,Martinez Inc
GR100032,Groceries Candidate 32,461.14,Fantastic product with ethical sourcing.,"Arnold, Ray and Ward"
GR100033,Groceries Nor 33,148.04,Very durable and eco-friendly packaging.,"Dixon, Lang and Perez"
GR100034,Groceries Another 34,270.73,Fantastic product with ethical sourcing.,Carter-Thompson
GR100035,Groceries Name 35,797.65,Wouldn’t buy again.,"Salas, Henderson and Smith"
GR100036,Groceries Live 36,279.39,Very durable and eco-friendly packaging.,Crawford-Curtis
GR100037,Groceries Act 37,174.66,Good but overpriced.,Harris-Bartlett
GR100038,Groceries Mission 38,502.01,Good but overpriced.,"Gross, Fletcher and Vasquez"
GR100039,Groceries Partner 39,64.31,Satisfied with the purchase.,Garcia PLC
GR100040,Groceries Police 40,647.67,Perfect gift option!,"Bailey, Yang and Macias"
GR100041,Groceries Across 41,553.32,Perfect gift option!,"Blake, Obrien and Schmidt"
GR100042,Groceries Movie 42,893.42,Not worth the price.,Wright-Jones
GR100043,Groceries That 43,165.12,Great quality and fast delivery!,Rodriguez and Sons
GR100044,Groceries Contain 44,626.89,Not worth the price.,Gregory-Boyd
