product_id,product_name,product_price,reviews,created_by
EL100000,Electronics And 0,687.65,Satisfied with the purchase.,Stevens Inc
EL100001,Electronics Like 1,252.02,Fantastic product with ethical sourcing.,Smith-Fisher
EL100002,Electronics Street 2,85.32,Wouldn’t buy again.,Miller-Jones
EL100003,Electronics Space 3,796.24,Not worth the price.,Smith-Everett
EL100004,Electronics Until 4,643.58,Good but overpriced.,Sloan-Nguyen
EL100005,Electronics Then 5,709.36,Fantastic product with ethical sourcing.,"Krause, Johnston and Campbell"
EL100006,Electronics Face 6,654.7,Wouldn’t buy again.,Allen LLC
EL100007,Electronics Brother 7,567.88,Not worth the price.,"Silva, Rodriguez and Duncan"
EL100008,Electronics Their 8,66.87,Perfect gift option!,"Dunn, Johnson and Travis"
EL100009,Electronics Employee 9,256.2,Fantastic product with ethical sourcing.,Gordon PLC
EL100010,Electronics Ago 10,428.37,Wouldn’t buy again.,Fox-Marsh
EL100011,Electronics Whether 11,458.98,"Excellent product, highly recommend.",Bennett-Dorsey
EL100012,Electronics Suddenly 12,138.04,Very durable and eco-friendly packaging.,"Mack, Choi and Wolf"
EL100013,Electronics Like 13,857.52,"Average experience, could be better.",Ward-Shelton
EL100014,Electronics Form 14,895.87,Perfect gift option!,Thomas-Ford
EL100015,Electronics Morning 15,814.04,"Average experience, could be better.",Bailey-Miller
EL100016,Electronics However 16,741.76,"Excellent product, highly recommend.",Mccullough-Brown
EL100017,Electronics Federal 17,388.52,Not worth the price.,Lloyd Ltd
EL100018,Electronics Sort 18,623.5,Good but overpriced.,Young-Lang
EL100019,Electronics Include 19,113.38,Satisfied with the purchase.,"Nelson, Garcia and Curry"
EL100020,Electronics Natural 20,468.82,Not worth the price.,"Aguilar, Vargas and Miller"
EL100021,Electronics Song 21,775.19,"Average experience, could be better.",Johnson-Wilcox
EL100022,Electronics Traditional 22,662.47,Good but overpriced.,Smith-Gutierrez
EL100023,Electronics Mother 23,84.57,Great quality and fast delivery!,"Ward, Lee and House"
EL100024,Electronics Traditional 24,630.19,Satisfied with the purchase.,Nixon-Leblanc
