product_id,product_name,product_price,reviews,created_by,Environmental Impact,Labor Rights,Animal Welfare,Corporate Governance
GR100000,Groceries Draw 0,551.45,"Great value for money, very satisfied. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it. | Not fresh, disappointed with the purchase. | Quantity is less compared to price. | Loved the eco-friendly packaging. | Packaging was damaged but product was fine. | Very healthy choice, highly recommend. | Flavor was average, nothing special. | Product expired sooner than expected.",West and Sons,100,41,28,74
GR100001,Groceries Get 1,878.68,"Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it. | Packaging was damaged but product was fine. | Excellent quality, will buy again. | Flavor was average, nothing special. | Loved the eco-friendly packaging. | Perfect for daily use, very reliable. | Not fresh, disappointed with the purchase. | Product expired sooner than expected. | Great value for money, very satisfied.","Franklin, Fisher and Harrison",63,26,30,72
GR100002,Groceries Special 2,868.37,"Not fresh, disappointed with the purchase. | Quantity is less compared to price. | Product expired sooner than expected. | Loved the eco-friendly packaging. | Too expensive for the quantity provided. | Excellent quality, will buy again. | Flavor was average, nothing special. | Perfect for daily use, very reliable. | Packaging was damaged but product was fine. | Great value for money, very satisfied. | Fresh and tasty, really enjoyed it. | Very healthy choice, highly recommend.","Morris, Wheeler and Lewis",65,61,99,91
GR100003,Groceries Today 3,149.91,"Packaging was damaged but product was fine. | Not fresh, disappointed with the purchase. | Loved the eco-friendly packaging. | Flavor was average, nothing special. | Fresh and tasty, really enjoyed it. | Quantity is less compared to price. | Very healthy choice, highly recommend. | Excellent quality, will buy again. | Too expensive for the quantity provided. | Product expired sooner than expected. | Perfect for daily use, very reliable.",Lee-Rich,48,49,96,59
GR100004,Groceries Goal 4,538.13,"Packaging was damaged but product was fine. | Quantity is less compared to price. | Too expensive for the quantity provided. | Flavor was average, nothing special. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Not fresh, disappointed with the purchase. | Perfect for daily use, very reliable. | Fresh and tasty, really enjoyed it. | Very healthy choice, highly recommend. | Great value for money, very satisfied.",Perez-Harrell,87,93,37,58
GR100005,Groceries Try 5,797.85,"Great value for money, very satisfied. | Perfect for daily use, very reliable. | Fresh and tasty, really enjoyed it. | Too expensive for the quantity provided. | Flavor was average, nothing special. | Not fresh, disappointed with the purchase. | Very healthy choice, highly recommend. | Product expired sooner than expected. | Quantity is less compared to price. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Packaging was damaged but product was fine.",Griffin-Olsen,68,98,44,62
GR100006,Groceries Scene 6,135.47,"Very healthy choice, highly recommend. | Not fresh, disappointed with the purchase. | Great value for money, very satisfied. | Excellent quality, will buy again. | Flavor was average, nothing special. | Packaging was damaged but product was fine. | Loved the eco-friendly packaging. | Product expired sooner than expected. | Perfect for daily use, very reliable. | Quantity is less compared to price. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it.",Sanchez Ltd,62,25,93,32
GR100007,Groceries Approach 7,720.03,"Loved the eco-friendly packaging. | Not fresh, disappointed with the purchase. | Quantity is less compared to price. | Great value for money, very satisfied. | Flavor was average, nothing special. | Packaging was damaged but product was fine. | Fresh and tasty, really enjoyed it. | Very healthy choice, highly recommend. | Excellent quality, will buy again. | Product expired sooner than expected.",Young and Sons,87,43,77,56
GR100008,Groceries Nice 8,32.8,"Loved the eco-friendly packaging. | Perfect for daily use, very reliable. | Product expired sooner than expected. | Great value for money, very satisfied. | Not fresh, disappointed with the purchase. | Too expensive for the quantity provided. | Very healthy choice, highly recommend. | Fresh and tasty, really enjoyed it. | Flavor was average, nothing special. | Packaging was damaged but product was fine. | Excellent quality, will buy again. | Quantity is less compared to price.","Smith, Scott and Meyer",96,85,49,74
GR100009,Groceries Growth 9,734.46,"Very healthy choice, highly recommend. | Not fresh, disappointed with the purchase. | Quantity is less compared to price. | Product expired sooner than expected. | Excellent quality, will buy again. | Fresh and tasty, really enjoyed it. | Loved the eco-friendly packaging. | Packaging was damaged but product was fine. | Too expensive for the quantity provided. | Flavor was average, nothing special. | Great value for money, very satisfied.","Saunders, Hernandez and Frye",39,59,20,51
