product_id,product_name,product_price,reviews,created_by,environmental impact,labor rights,animal welfare,corporate governance,category,public_sentiment_score
BE100000,Beauty Miss 0,920.53,"Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Bottle design is very convenient. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Not suitable for sensitive skin. | Caused breakouts after a week. | Not Long lasting. | Too oily. | Too sticky and oily. | Good and satisfied. | This product is amazing! So light, smooth, and refreshing. | This product is amazing! So light, smooth, and refreshing. | Moisturizes well and feels refreshing. | Bad and Not recommended.",Martinez-May,58.93,61.28,62.56,59.16,Beauty,91.82
BE100001,Beauty Once 1,328.39,"Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Not suitable for sensitive skin. | Perfect for daily skincare routine. | Helped improve my skin glow. | Too oily and sticky after use. | Bottle design is very convenient. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Very affordable and effective product. | Too sticky. | This is too sticky and oily. | This product is amazing! So light, smooth, and refreshing. | This is too sticky and oily. | This is too sticky and oily.","Allen, Crane and Moore",59.39,60.58,62.61,58.45,Beauty,61.0
BE100002,Beauty National 2,38.52,"Bottle design is very convenient. | Not suitable for sensitive skin. | Very affordable and effective product. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Caused breakouts after a week. | Helped improve my skin glow.",Blanchard and Sons,40.0,37.0,96.0,88.0,Beauty,96.61
BE100003,Beauty Your 3,732.08,"Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Bottle design is very convenient. | Very affordable and effective product. | Caused breakouts after a week. | Perfect for daily skincare routine. | Helped improve my skin glow. | Too oily and sticky after use. | Doesn’t last long, fades quickly. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin.","Griffin, Ayers and Webb",81.0,34.0,95.0,77.0,Beauty,95.07
BE100004,Beauty Data 4,15.16,"Not suitable for sensitive skin. | Very affordable and effective product. | Doesn’t last long, fades quickly. | Too oily and sticky after use. | Perfect for daily skincare routine. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Caused breakouts after a week. | Moisturizes well and feels refreshing.",Cox-Brady,38.0,98.0,37.0,58.0,Beauty,97.68
BE100005,Beauty Discussion 5,87.68,"Caused breakouts after a week. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Perfect for daily skincare routine. | Helped improve my skin glow. | Bottle design is very convenient. | Too oily and sticky after use. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply.",Wilson LLC,81.0,25.0,40.0,96.0,Beauty,94.55
BE100006,Beauty Career 6,331.57,"Too oily and sticky after use. | Bottle design is very convenient. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Helped improve my skin glow. | Caused breakouts after a week. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Very affordable and effective product. | Caused irritation on my skin. | Bad Product, Too sticky and smelly.",Medina-Clark,59.0,60.48,61.44,59.69,Beauty,91.82
BE100007,Beauty Near 7,248.11,"Too oily and sticky after use. | Caused irritation on my skin. | Not suitable for sensitive skin. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Caused breakouts after a week. | Moisturizes well and feels refreshing. | Perfect for daily skincare routine. | Helped improve my skin glow. | Bottle design is very convenient.",Glover-Rodriguez,43.0,50.0,57.0,87.0,Beauty,94.55
BE100008,Beauty Decade 8,113.81,"Very affordable and effective product. | Bottle design is very convenient. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Caused breakouts after a week. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Perfect for daily skincare routine.",Huerta LLC,75.0,47.0,60.0,40.0,Beauty,96.76
BE100009,Beauty Service 9,558.69,Helped improve my skin glow. | Caused breakouts after a week. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Perfect for daily skincare routine. | Bottle design is very convenient. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Too oily and sticky after use. | Not suitable for sensitive skin.,Gordon Ltd,81.0,27.0,61.0,82.0,Beauty,97.68
