product_id,product_name,product_price,reviews,created_by,Environmental Impact,Labor Rights,Animal Welfare,Corporate Governance
FA100000,Fashion Material 0,803.92,"Size runs smaller than expected. | Very high quality stitching, impressive. | Design looks premium, worth the money. | Color faded after first wash. | Material feels cheap, not worth it. | Shoes are lightweight and easy to wear. | Fits perfectly, very comfortable. | Too tight around shoulders, uncomfortable. | Fabric is soft and durable. | Feels warm and cozy, ideal for winters. | Trendy and stylish, got many compliments.","Alexander, Jensen and Foley",56,56,60,45
FA100001,Fashion Almost 1,977.47,"Size runs smaller than expected. | Color faded after first wash. | Material feels cheap, not worth it. | Perfect fit, matches description well. | Feels warm and cozy, ideal for winters. | Trendy and stylish, got many compliments. | Too tight around shoulders, uncomfortable. | Shoes are lightweight and easy to wear. | Fabric is soft and durable. | Very high quality stitching, impressive.","Campbell, Roth and Young",71,88,87,23
FA100002,Fashion Play 2,169.24,"Very high quality stitching, impressive. | Material feels cheap, not worth it. | Design looks premium, worth the money. | Size runs smaller than expected. | Feels warm and cozy, ideal for winters. | Color faded after first wash. | Perfect fit, matches description well. | Fits perfectly, very comfortable. | Shoes are lightweight and easy to wear. | Trendy and stylish, got many compliments. | Fabric is soft and durable.","Cunningham, Casey and Moore",57,38,78,86
FA100003,Fashion Prepare 3,555.21,"Color faded after first wash. | Material feels cheap, not worth it. | Trendy and stylish, got many compliments. | Design looks premium, worth the money. | Shoes are lightweight and easy to wear. | Fits perfectly, very comfortable. | Perfect fit, matches description well. | Too tight around shoulders, uncomfortable. | Fabric is soft and durable. | Size runs smaller than expected.","George, Miller and Smith",25,94,21,62
FA100004,Fashion Oil 4,906.99,"Trendy and stylish, got many compliments. | Too tight around shoulders, uncomfortable. | Feels warm and cozy, ideal for winters. | Design looks premium, worth the money. | Fabric is soft and durable. | Size runs smaller than expected. | Color faded after first wash. | Perfect fit, matches description well. | Material feels cheap, not worth it. | Fits perfectly, very comfortable. | Shoes are lightweight and easy to wear.","Williams, Bautista and Palmer",27,92,29,49
FA100005,Fashion Face 5,844.53,"Perfect fit, matches description well. | Very high quality stitching, impressive. | Fabric is soft and durable. | Feels warm and cozy, ideal for winters. | Size runs smaller than expected. | Trendy and stylish, got many compliments. | Too tight around shoulders, uncomfortable. | Design looks premium, worth the money. | Shoes are lightweight and easy to wear. | Color faded after first wash. | Material feels cheap, not worth it. | Fits perfectly, very comfortable.",Bailey-Kim,36,46,94,35
FA100006,Fashion Lot 6,412.19,"Too tight around shoulders, uncomfortable. | Shoes are lightweight and easy to wear. | Color faded after first wash. | Very high quality stitching, impressive. | Perfect fit, matches description well. | Fits perfectly, very comfortable. | Fabric is soft and durable. | Feels warm and cozy, ideal for winters. | Trendy and stylish, got many compliments. | Design looks premium, worth the money. | Size runs smaller than expected. | Material feels cheap, not worth it.",Russell and Sons,95,32,45,90
FA100007,Fashion Require 7,83.7,"Too tight around shoulders, uncomfortable. | Fabric is soft and durable. | Color faded after first wash. | Size runs smaller than expected. | Perfect fit, matches description well. | Material feels cheap, not worth it. | Fits perfectly, very comfortable. | Design looks premium, worth the money. | Shoes are lightweight and easy to wear. | Trendy and stylish, got many compliments.","Velez, Mann and Harris",81,76,23,58
FA100008,Fashion Why 8,115.18,"Design looks premium, worth the money. | Size runs smaller than expected. | Shoes are lightweight and easy to wear. | Fabric is soft and durable. | Too tight around shoulders, uncomfortable. | Fits perfectly, very comfortable. | Color faded after first wash. | Trendy and stylish, got many compliments. | Feels warm and cozy, ideal for winters. | Very high quality stitching, impressive.","Lara, Bailey and Porter",97,79,47,60
FA100009,Fashion Note 9,240.83,"Size runs smaller than expected. | Very high quality stitching, impressive. | Color faded after first wash. | Fits perfectly, very comfortable. | Too tight around shoulders, uncomfortable. | Trendy and stylish, got many compliments. | Material feels cheap, not worth it. | Fabric is soft and durable. | Shoes are lightweight and easy to wear. | Design looks premium, worth the money.",Smith and Sons,53,31,21,50
