product_id,product_name,product_price,reviews,created_by
FA100000,Fashion Material 0,803.92,Satisfied with the purchase.,"Alexander, Jensen and Foley"
FA100001,Fashion Almost 1,977.47,"Average experience, could be better.","Campbell, Roth and Young"
FA100002,Fashion Play 2,169.24,Satisfied with the purchase.,"Cunningham, Casey and Moore"
FA100003,Fashion Prepare 3,555.21,Fantastic product with ethical sourcing.,"George, Miller and Smith"
FA100004,Fashion Oil 4,906.99,Good but overpriced.,"Williams, Bautista and Palmer"
FA100005,Fashion Face 5,844.53,Not worth the price.,Bailey-Kim
FA100006,Fashion Lot 6,412.19,"Average experience, could be better.",Russell and Sons
FA100007,Fashion Require 7,83.7,Wouldn’t buy again.,"Velez, Mann and Harris"
FA100008,Fashion Why 8,115.18,Great quality and fast delivery!,"Lara, Bailey and Porter"
FA100009,Fashion Note 9,240.83,Satisfied with the purchase.,Smith and Sons
FA100010,Fashion Always 10,222.44,Great quality and fast delivery!,"Collier, Romero and Obrien"
FA100011,Fashion Glass 11,404.4,Very durable and eco-friendly packaging.,"Castillo, Woods and Bolton"
FA100012,Fashion Hit 12,812.55,Great quality and fast delivery!,Stone LLC
FA100013,Fashion Large 13,944.18,Not worth the price.,Lawson Inc
FA100014,Fashion Second 14,570.55,Good but overpriced.,Howard PLC
FA100015,Fashion Parent 15,511.54,Perfect gift option!,Shannon Inc
FA100016,Fashion Piece 16,874.05,Satisfied with the purchase.,Randall-Russell
FA100017,Fashion Air 17,289.18,Very durable and eco-friendly packaging.,Simon-Gomez
FA100018,Fashion Relationship 18,809.61,"Excellent product, highly recommend.","Bates, Santiago and Gonzales"
FA100019,Fashion Look 19,163.87,Not worth the price.,"Long, Porter and Smith"
FA100020,Fashion Short 20,851.69,Great quality and fast delivery!,Watkins-Mitchell
FA100021,Fashion Gun 21,852.17,Very durable and eco-friendly packaging.,White-Mcmillan
FA100022,Fashion Production 22,334.3,Perfect gift option!,"Davenport, Scott and Atkins"
FA100023,Fashion Physical 23,426.68,"Excellent product, highly recommend.","Martin, Smith and Jackson"
FA100024,Fashion Material 24,272.38,Satisfied with the purchase.,"Vargas, Lee and Friedman"
FA100025,Fashion Believe 25,462.19,Very durable and eco-friendly packaging.,"Smith, Perez and Flores"
FA100026,Fashion Impact 26,784.35,Perfect gift option!,Ellison Group
FA100027,Fashion Fire 27,944.2,Perfect gift option!,Taylor-Owen
FA100028,Fashion American 28,965.13,Perfect gift option!,"Bonilla, Guerrero and Smith"
FA100029,Fashion International 29,968.59,Great quality and fast delivery!,"Rodriguez, Fox and Marquez"
FA100030,Fashion Already 30,999.1,Perfect gift option!,Contreras and Sons
FA100031,Fashion Couple 31,788.87,Great quality and fast delivery!,"Roberts, Robinson and Burton"
FA100032,Fashion Plan 32,244.4,Great quality and fast delivery!,Rogers-Skinner
FA100033,Fashion Brother 33,873.12,Perfect gift option!,"Rodriguez, Russell and Silva"
FA100034,Fashion If 34,197.9,Good but overpriced.,Moore and Sons
FA100035,Fashion Some 35,991.81,"Excellent product, highly recommend.",Thompson Group
FA100036,Fashion Very 36,413.65,Great quality and fast delivery!,Becker-Smith
FA100037,Fashion Order 37,313.52,Satisfied with the purchase.,Lawson PLC
FA100038,Fashion Lead 38,860.88,"Excellent product, highly recommend.",Johnson Inc
FA100039,Fashion Free 39,400.24,Great quality and fast delivery!,"Tucker, Munoz and Williams"
FA100040,Fashion Upon 40,156.24,Satisfied with the purchase.,"Lewis, King and Bailey"
FA100041,Fashion Ago 41,650.82,Satisfied with the purchase.,"Tucker, Velasquez and Davis"
FA100042,Fashion Involve 42,555.56,Wouldn’t buy again.,Bray-Cruz
FA100043,Fashion Arm 43,484.94,Very durable and eco-friendly packaging.,"Reyes, Jacobs and Fitzgerald"
FA100044,Fashion Movie 44,127.34,Not worth the price.,Decker-Cortez
FA100045,Fashion Hour 45,769.98,Very durable and eco-friendly packaging.,Adams PLC
FA100046,Fashion Perhaps 46,518.53,Very durable and eco-friendly packaging.,Hatfield-Ross
FA100047,Fashion Size 47,691.51,Fantastic product with ethical sourcing.,Henson PLC
FA100048,Fashion Service 48,366.53,Great quality and fast delivery!,"Barnett, Leon and Larsen"
FA100049,Fashion Summer 49,552.68,Wouldn’t buy again.,"Hoffman, Carter and Macdonald"
FA100050,Fashion Model 50,192.48,Wouldn’t buy again.,Martinez Inc
FA100051,Fashion Interesting 51,114.32,Wouldn’t buy again.,Robinson-Wong
FA100052,Fashion Situation 52,228.83,Not worth the price.,Burns-Guzman
FA100053,Fashion Item 53,338.28,Great quality and fast delivery!,"Smith, Price and Ramirez"
FA100054,Fashion Around 54,422.02,Great quality and fast delivery!,"Brown, Stevens and Ramirez"
FA100055,Fashion Dream 55,829.37,Fantastic product with ethical sourcing.,Little PLC
FA100056,Fashion Floor 56,976.75,"Average experience, could be better.",Clark-Livingston
FA100057,Fashion Wife 57,784.08,Great quality and fast delivery!,"Harmon, Chavez and Miller"
FA100058,Fashion Ago 58,675.39,Fantastic product with ethical sourcing.,"Smith, Vasquez and Vaughn"
FA100059,Fashion Left 59,371.02,Not worth the price.,"Lewis, Thomas and Jones"
FA100060,Fashion Per 60,777.65,Satisfied with the purchase.,Frazier-Smith
